,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
0,Input,sponges_networks,Input networks,,,Difference,577,,10.0
1,Input,sponges_networks,Input networks,,,Intersection 0.2,214,2.0,10.0
2,Input,sponges_networks,Input networks,,,Intersection 0.3,66,3.0,10.0
3,Input,sponges_networks,Input networks,,,Intersection 0.5,6,5.0,10.0
4,Input,sponges_networks,Input networks,,,Intersection 0.7,1,7.0,10.0
5,Input,sponges_networks,Input networks,,,Intersection 1,1,10.0,10.0
6,Degree,sponges_networks,Degree networks,,,Difference,822,,10.0
7,Degree,sponges_networks,Degree networks,,,Intersection 0.2,128,2.0,10.0
8,Degree,sponges_networks,Degree networks,,,Intersection 0.3,21,3.0,10.0
9,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
10,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
11,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
12,Random,sponges_networks,Random networks,,,Difference,829,,10.0
13,Random,sponges_networks,Random networks,,,Intersection 0.2,130,2.0,10.0
14,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
15,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
16,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
17,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
18,Degree,sponges_networks,Degree networks,,,Difference,812,,10.0
19,Degree,sponges_networks,Degree networks,,,Intersection 0.2,137,2.0,10.0
20,Degree,sponges_networks,Degree networks,,,Intersection 0.3,14,3.0,10.0
21,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
22,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
23,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
24,Random,sponges_networks,Random networks,,,Difference,842,,10.0
25,Random,sponges_networks,Random networks,,,Intersection 0.2,124,2.0,10.0
26,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
27,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
28,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
29,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
30,Degree,sponges_networks,Degree networks,,,Difference,787,,10.0
31,Degree,sponges_networks,Degree networks,,,Intersection 0.2,148,2.0,10.0
32,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
33,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
34,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
35,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
36,Random,sponges_networks,Random networks,,,Difference,864,,10.0
37,Random,sponges_networks,Random networks,,,Intersection 0.2,114,2.0,10.0
38,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
39,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
40,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
41,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
42,Degree,sponges_networks,Degree networks,,,Difference,828,,10.0
43,Degree,sponges_networks,Degree networks,,,Intersection 0.2,128,2.0,10.0
44,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
45,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
46,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
47,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
48,Random,sponges_networks,Random networks,,,Difference,856,,10.0
49,Random,sponges_networks,Random networks,,,Intersection 0.2,114,2.0,10.0
50,Random,sponges_networks,Random networks,,,Intersection 0.3,14,3.0,10.0
51,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
52,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
53,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
54,Degree,sponges_networks,Degree networks,,,Difference,808,,10.0
55,Degree,sponges_networks,Degree networks,,,Intersection 0.2,139,2.0,10.0
56,Degree,sponges_networks,Degree networks,,,Intersection 0.3,13,3.0,10.0
57,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
58,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
59,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
60,Random,sponges_networks,Random networks,,,Difference,871,,10.0
61,Random,sponges_networks,Random networks,,,Intersection 0.2,111,2.0,10.0
62,Random,sponges_networks,Random networks,,,Intersection 0.3,7,3.0,10.0
63,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
64,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
65,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
66,Degree,sponges_networks,Degree networks,,,Difference,840,,10.0
67,Degree,sponges_networks,Degree networks,,,Intersection 0.2,119,2.0,10.0
68,Degree,sponges_networks,Degree networks,,,Intersection 0.3,19,3.0,10.0
69,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
70,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
71,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
72,Random,sponges_networks,Random networks,,,Difference,847,,10.0
73,Random,sponges_networks,Random networks,,,Intersection 0.2,120,2.0,10.0
74,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
75,Random,sponges_networks,Random networks,,,Intersection 0.5,1,5.0,10.0
76,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
77,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
78,Degree,sponges_networks,Degree networks,,,Difference,804,,10.0
79,Degree,sponges_networks,Degree networks,,,Intersection 0.2,137,2.0,10.0
80,Degree,sponges_networks,Degree networks,,,Intersection 0.3,22,3.0,10.0
81,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
82,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
83,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
84,Random,sponges_networks,Random networks,,,Difference,843,,10.0
85,Random,sponges_networks,Random networks,,,Intersection 0.2,123,2.0,10.0
86,Random,sponges_networks,Random networks,,,Intersection 0.3,11,3.0,10.0
87,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
88,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
89,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
90,Degree,sponges_networks,Degree networks,,,Difference,840,,10.0
91,Degree,sponges_networks,Degree networks,,,Intersection 0.2,125,2.0,10.0
92,Degree,sponges_networks,Degree networks,,,Intersection 0.3,11,3.0,10.0
93,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
94,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
95,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
96,Random,sponges_networks,Random networks,,,Difference,881,,10.0
97,Random,sponges_networks,Random networks,,,Intersection 0.2,107,2.0,10.0
98,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
99,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
100,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
101,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
102,Degree,sponges_networks,Degree networks,,,Difference,845,,10.0
103,Degree,sponges_networks,Degree networks,,,Intersection 0.2,120,2.0,10.0
104,Degree,sponges_networks,Degree networks,,,Intersection 0.3,14,3.0,10.0
105,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
106,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
107,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
108,Random,sponges_networks,Random networks,,,Difference,835,,10.0
109,Random,sponges_networks,Random networks,,,Intersection 0.2,129,2.0,10.0
110,Random,sponges_networks,Random networks,,,Intersection 0.3,8,3.0,10.0
111,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
112,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
113,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
114,Degree,sponges_networks,Degree networks,,,Difference,819,,10.0
115,Degree,sponges_networks,Degree networks,,,Intersection 0.2,131,2.0,10.0
116,Degree,sponges_networks,Degree networks,,,Intersection 0.3,18,3.0,10.0
117,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
118,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
119,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
120,Random,sponges_networks,Random networks,,,Difference,869,,10.0
121,Random,sponges_networks,Random networks,,,Intersection 0.2,111,2.0,10.0
122,Random,sponges_networks,Random networks,,,Intersection 0.3,10,3.0,10.0
123,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
124,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
125,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
126,Degree,sponges_networks,Degree networks,,,Difference,800,,10.0
127,Degree,sponges_networks,Degree networks,,,Intersection 0.2,141,2.0,10.0
128,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
129,Degree,sponges_networks,Degree networks,,,Intersection 0.5,1,5.0,10.0
130,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
131,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
132,Random,sponges_networks,Random networks,,,Difference,872,,10.0
133,Random,sponges_networks,Random networks,,,Intersection 0.2,111,2.0,10.0
134,Random,sponges_networks,Random networks,,,Intersection 0.3,6,3.0,10.0
135,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
136,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
137,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
138,Degree,sponges_networks,Degree networks,,,Difference,821,,10.0
139,Degree,sponges_networks,Degree networks,,,Intersection 0.2,131,2.0,10.0
140,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
141,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
142,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
143,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
144,Random,sponges_networks,Random networks,,,Difference,852,,10.0
145,Random,sponges_networks,Random networks,,,Intersection 0.2,119,2.0,10.0
146,Random,sponges_networks,Random networks,,,Intersection 0.3,9,3.0,10.0
147,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
148,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
149,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
150,Degree,sponges_networks,Degree networks,,,Difference,792,,10.0
151,Degree,sponges_networks,Degree networks,,,Intersection 0.2,147,2.0,10.0
152,Degree,sponges_networks,Degree networks,,,Intersection 0.3,15,3.0,10.0
153,Degree,sponges_networks,Degree networks,,,Intersection 0.5,0,5.0,10.0
154,Degree,sponges_networks,Degree networks,,,Intersection 0.7,0,7.0,10.0
155,Degree,sponges_networks,Degree networks,,,Intersection 1,0,10.0,10.0
156,Random,sponges_networks,Random networks,,,Difference,891,,10.0
157,Random,sponges_networks,Random networks,,,Intersection 0.2,99,2.0,10.0
158,Random,sponges_networks,Random networks,,,Intersection 0.3,12,3.0,10.0
159,Random,sponges_networks,Random networks,,,Intersection 0.5,0,5.0,10.0
160,Random,sponges_networks,Random networks,,,Intersection 0.7,0,7.0,10.0
161,Random,sponges_networks,Random networks,,,Intersection 1,0,10.0,10.0
162,Degree,sponges_networks,Degree networks,,,Difference,829,,10.0
163,Degree,sponges_networks,Degree networks,,,Intersection 0.2,126,2.0,10.0
