"X104.AF"	"X104.Kuu"	"X104.Too2"	"X104.Too"	"X104.Abi"	"X104.Byl1"	"X104.AF1"	"X104.Abi2"	"X104.RL"	"X104.DH"	"X104.Tag"	"X104.Sva"	"X104.TM"	"X104.Byl2"	"X104.AF3"	"X104.CB"	"X104.CP"	"X104.Tru2"	"X104.Zac"	"X104.Thu"	"X104.Fai"	"X104.Abi3"	"X104.Art"	"X104.CT2"	"X104.DL"	"X104.DL1"	"X104.Noa"	"X104.Tru1"	"X104.KG"	"X104.KAV"	"X104.BI"	"X104.CT1"	"X104.WC"	"X104.CT"	"X104.Ska"	"X104.DL3"	"X104.Kil"	"X104.Ayl"	"X104.LR"	"X104.H1"	"X104.Lax"	"X104.H4"	"X104.H3"	"X104.H2"	"X104.KGR"	"X104.DL2"	"X104.Too3"	"X104.Too1"	"X104.AF2"	"X104.Yam"	"X104.Abi1"	"X104.CT3"
"151955"	3	9	0	4	6	3	1	1	0	0	0	0	5	7	3	0	0	0	0	0	0	1	2	1	4	0	0	0	0	0	7	6	0	9	3	1	1	3	0	3	0	0	0	0	4	1	0	0	0	0	0	0
"4450676"	2	2	0	0	0	7	4	0	0	1	0	7	1	10	4	0	1	0	2	3	1	0	0	5	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
"741312"	10	0	1	9	4	7	10	3	0	0	0	2	6	3	4	0	0	2	0	1	1	0	0	11	0	0	0	0	1	1	5	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0
"765676"	0	1	0	1	1	0	4	2	4	2	2	2	2	0	2	2	2	2	2	1	0	0	0	2	0	0	2	2	4	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"134163"	3	7	1	0	6	24	3	2	0	3	0	2	3	10	0	0	0	0	3	0	2	1	0	18	0	0	0	0	0	3	2	0	0	2	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
"204462"	53	36	0	13	32	16	35	7	0	8	0	4	11	47	13	0	0	0	6	20	3	7	39	13	5	0	0	0	0	17	8	0	4	28	6	9	0	6	2	5	3	0	4	1	5	4	4	2	16	1	2	0
"112952"	2	10	0	2	0	2	0	0	2	0	3	4	3	10	2	1	3	1	0	4	0	2	0	25	0	0	0	11	0	5	2	0	2	18	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0
"216023"	1	3	0	2	3	1	3	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	5	2	2	0	0	0	0	0	2	1	0	2	1	1	0	3	3	0	2	0	1	0	1	0	0	0	0	0	0	0
"148890"	45	37	6	117	25	21	57	15	38	12	4	40	47	26	20	4	2	2	8	20	15	4	22	14	2	1	7	1	6	12	5	4	19	14	13	2	5	13	12	2	5	1	0	1	28	0	4	0	13	0	1	0
"1135983"	0	18	0	21	5	4	0	0	4	3	0	0	2	6	0	0	0	0	0	0	8	4	34	0	28	0	2	0	0	0	4	2	0	7	4	38	8	7	1	2	0	2	3	2	2	13	0	7	0	3	5	0
"216805"	258	83	14	53	64	53	175	37	92	35	8	14	140	69	134	5	6	10	29	121	60	24	61	71	9	2	13	9	4	27	12	7	81	37	5	22	4	7	41	9	21	4	11	1	6	12	33	6	55	2	5	1
"4386675"	5	18	0	4	6	32	2	3	0	3	0	12	2	17	5	0	0	0	1	5	1	3	0	18	0	0	1	0	3	3	4	1	0	35	1	0	0	0	6	0	1	0	0	0	0	0	1	0	4	0	0	0
"1136344"	12	1	0	3	1	28	3	3	8	1	1	0	1	12	1	0	0	0	1	10	7	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0
"214791"	1	5	0	2	1	4	1	0	3	12	0	0	5	1	2	0	0	0	1	2	2	0	6	1	3	0	4	2	0	2	1	0	0	1	0	8	2	3	0	0	2	0	0	0	1	0	1	1	0	3	0	0
"276290"	9	6	0	2	9	8	7	3	1	1	0	4	4	8	1	1	3	1	1	0	1	0	0	0	0	0	2	1	0	3	6	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	3	0	0	0
"205635"	3	8	0	5	8	13	9	1	1	3	0	2	4	12	3	0	0	0	4	0	3	1	1	1	0	0	0	0	0	6	1	1	0	2	1	0	0	0	1	1	2	0	0	0	2	0	1	1	0	0	0	0
"2584634"	2	6	0	5	3	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	9	0	7	0	0	0	0	2	1	0	0	0	1	8	0	4	0	4	0	1	3	0	1	9	0	0	0	0	1	0
"4363347"	1	6	0	1	1	3	1	2	5	0	2	5	3	1	1	0	0	0	2	4	2	0	0	1	0	0	0	0	0	1	2	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0
"3639039"	8	0	0	1	3	1	6	9	7	0	0	2	4	1	7	4	24	6	0	0	0	0	0	0	0	0	8	21	0	1	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0
"1128776"	0	6	0	4	4	0	2	6	1	0	0	0	11	4	2	1	1	1	3	0	3	0	1	1	0	0	0	0	0	0	5	0	0	3	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0
"133533"	0	1	1	15	0	55	13	0	13	1	3	1	3	22	4	5	29	0	5	0	52	0	2	2	1	0	1	6	6	2	9	0	10	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	7	0	1	0
"161009"	3	8	0	8	2	10	3	2	1	5	0	0	2	13	8	1	1	0	4	1	0	0	0	3	0	0	1	0	0	2	1	0	3	0	0	0	0	0	3	0	1	0	0	0	1	0	1	0	0	1	0	0
"150977"	0	4	0	3	0	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	2	0	3	0	2	1	0	0	0	0	0	2	0	2	3	12	2	5	0	8	0	2	8	2	2	0	0	0	0	0	0	0
"206038"	5	1	0	1	1	1	4	1	3	0	1	6	3	4	2	1	0	2	3	6	2	0	0	2	0	0	0	0	5	3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
"4424785"	4	0	0	1	2	1	1	0	5	0	1	5	1	1	0	3	10	2	0	7	0	0	0	1	0	0	1	5	5	1	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
"4345884"	1	3	0	2	2	0	5	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	4	1	0	0	1	0	1	0	0	1	0	0	0	0
"4440396"	11	29	2	65	10	16	5	8	5	19	0	0	7	22	4	0	0	0	2	4	12	9	29	2	6	3	0	0	0	0	4	1	3	5	12	63	7	20	10	12	0	3	10	5	10	27	2	5	2	10	2	1
"257891"	1	11	0	18	8	5	0	0	0	4	0	0	3	7	1	0	0	0	0	0	2	0	11	1	6	1	0	0	0	0	3	7	0	5	5	8	1	3	0	1	0	0	1	0	2	3	0	0	0	0	0	0
"1123984"	6	4	0	12	9	3	1	0	0	0	0	0	19	9	0	0	0	0	0	0	4	1	62	0	7	1	0	0	0	0	0	0	0	1	2	0	1	10	2	8	0	0	0	1	19	5	2	1	0	0	1	0
"1129210"	5	40	0	28	73	2	1	2	0	0	0	0	27	0	0	0	0	0	1	0	3	19	116	0	79	13	0	0	0	2	17	18	0	36	33	67	14	56	0	49	0	4	71	8	24	45	0	9	0	10	7	0
"222768"	22	13	2	16	7	23	12	1	3	18	0	7	8	18	10	1	3	0	0	12	11	4	15	10	3	1	1	0	2	5	4	1	2	13	0	3	0	0	0	0	0	1	0	0	5	1	3	1	3	0	1	0
"211848"	26	79	4	51	31	63	7	15	0	41	0	0	3	60	22	0	0	0	3	13	17	7	3	15	2	1	0	0	1	13	4	0	4	14	8	2	0	2	32	1	6	1	0	1	6	1	12	1	5	0	6	0
"1088618"	1	0	1	1	6	0	4	0	22	1	2	2	1	0	0	0	1	0	0	4	6	2	2	0	0	0	3	0	2	1	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0
"1128503"	6	1	1	1	0	0	0	1	13	0	2	9	2	0	1	2	5	1	0	12	1	0	0	0	0	0	0	0	1	0	4	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
