,Node,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Centrality,Upper limit,Lower limit,Values
0,512006,Input,networks,Input networks,,,Degree,0.8764875188953408,0.7751082257855103,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.8218085106382979)]"
1,246078,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.13829787234042554)]"
2,1011380,Input,networks,Input networks,,,Degree,0.956439772523854,0.1791985253484864,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.5372340425531915)]"
3,1806981,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.38563829787234044)]"
4,4386675,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
5,968085,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.7340425531914894)]"
6,211848,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
7,4363347,Input,networks,Input networks,,,Degree,0.9082519687757251,0.33376930782001973,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.6436170212765957)]"
8,1101315,Input,networks,Input networks,,,Degree,1.0,0.17363913495803818,"[('arctic_flash.graphml', 0.8297872340425532), ('arctic_spiec.graphml', 0.7340425531914894)]"
9,705063,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.9707446808510638)]"
10,1136344,Input,networks,Input networks,,,Degree,0.9460417161057919,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.38563829787234044)]"
11,134163,Input,networks,Input networks,,,Degree,0.956439772523854,0.1791985253484864,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.5372340425531915)]"
12,28341,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.38563829787234044)]"
13,112952,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
14,1638797,Input,networks,Input networks,,,Degree,1.0,0.0,"[('arctic_flash.graphml', 0.598404255319149), ('arctic_spiec.graphml', 0.8218085106382979)]"
15,4479485,Input,networks,Input networks,,,Degree,0.5700953261380022,0.0,"[('arctic_flash.graphml', 0.2898936170212766), ('arctic_spiec.graphml', 0.24202127659574468)]"
16,156611,Input,networks,Input networks,,,Degree,1.0,0.8245433069747008,"[('arctic_flash.graphml', 0.9335106382978723), ('arctic_spiec.graphml', 0.9521276595744681)]"
