,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
0,Input,networks,Input networks,,,Difference,488,,2.0
1,Input,networks,Input networks,,,Intersection 1,93,2.0,2.0
2,Degree,networks,Degree networks,,,Difference,652,,2.0
3,Degree,networks,Degree networks,,,Intersection 1,11,2.0,2.0
4,Random,networks,Random networks,,,Difference,662,,2.0
5,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
6,Degree,networks,Degree networks,,,Difference,668,,2.0
7,Degree,networks,Degree networks,,,Intersection 1,3,2.0,2.0
8,Random,networks,Random networks,,,Difference,672,,2.0
9,Random,networks,Random networks,,,Intersection 1,1,2.0,2.0
10,Degree,networks,Degree networks,,,Difference,662,,2.0
11,Degree,networks,Degree networks,,,Intersection 1,6,2.0,2.0
12,Random,networks,Random networks,,,Difference,670,,2.0
13,Random,networks,Random networks,,,Intersection 1,2,2.0,2.0
14,Degree,networks,Degree networks,,,Difference,660,,2.0
15,Degree,networks,Degree networks,,,Intersection 1,7,2.0,2.0
16,Random,networks,Random networks,,,Difference,664,,2.0
17,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
18,Degree,networks,Degree networks,,,Difference,660,,2.0
19,Degree,networks,Degree networks,,,Intersection 1,7,2.0,2.0
20,Random,networks,Random networks,,,Difference,670,,2.0
21,Random,networks,Random networks,,,Intersection 1,2,2.0,2.0
22,Degree,networks,Degree networks,,,Difference,664,,2.0
23,Degree,networks,Degree networks,,,Intersection 1,5,2.0,2.0
24,Random,networks,Random networks,,,Difference,668,,2.0
25,Random,networks,Random networks,,,Intersection 1,3,2.0,2.0
26,Degree,networks,Degree networks,,,Difference,658,,2.0
27,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
28,Random,networks,Random networks,,,Difference,662,,2.0
29,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
30,Degree,networks,Degree networks,,,Difference,658,,2.0
31,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
32,Random,networks,Random networks,,,Difference,668,,2.0
33,Random,networks,Random networks,,,Intersection 1,3,2.0,2.0
34,Degree,networks,Degree networks,,,Difference,656,,2.0
35,Degree,networks,Degree networks,,,Intersection 1,9,2.0,2.0
36,Random,networks,Random networks,,,Difference,670,,2.0
37,Random,networks,Random networks,,,Intersection 1,2,2.0,2.0
38,Degree,networks,Degree networks,,,Difference,662,,2.0
39,Degree,networks,Degree networks,,,Intersection 1,6,2.0,2.0
40,Random,networks,Random networks,,,Difference,664,,2.0
41,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
42,Degree,networks,Degree networks,,,Difference,666,,2.0
43,Degree,networks,Degree networks,,,Intersection 1,4,2.0,2.0
44,Random,networks,Random networks,,,Difference,672,,2.0
45,Random,networks,Random networks,,,Intersection 1,1,2.0,2.0
46,Degree,networks,Degree networks,,,Difference,658,,2.0
47,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
48,Random,networks,Random networks,,,Difference,664,,2.0
49,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
50,Degree,networks,Degree networks,,,Difference,662,,2.0
51,Degree,networks,Degree networks,,,Intersection 1,6,2.0,2.0
52,Random,networks,Random networks,,,Difference,666,,2.0
53,Random,networks,Random networks,,,Intersection 1,4,2.0,2.0
54,Degree,networks,Degree networks,,,Difference,666,,2.0
55,Degree,networks,Degree networks,,,Intersection 1,4,2.0,2.0
56,Random,networks,Random networks,,,Difference,664,,2.0
57,Random,networks,Random networks,,,Intersection 1,5,2.0,2.0
58,Degree,networks,Degree networks,,,Difference,658,,2.0
59,Degree,networks,Degree networks,,,Intersection 1,8,2.0,2.0
60,Random,networks,Random networks,,,Difference,662,,2.0
61,Random,networks,Random networks,,,Intersection 1,6,2.0,2.0
62,Degree,networks,Degree networks,,,Difference,666,,2.0
