"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"
"151955"	"k__Bacteria"	"p__Acidobacteria"	"c__DA052"	"o__Ellin6513"	"f__"	"g__"	"s__"
"4450676"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"741312"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__"	"g__"	"s__"
"765676"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhodobiaceae"	"g__Afifella"	"s__"
"134163"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"204462"	"k__Bacteria"	"p__Acidobacteria"	"c__DA052"	"o__Ellin6513"	"f__"	"g__"	"s__"
"112952"	"k__Bacteria"	"p__Chloroflexi"	"c__Ellin6529"	"o__"	"f__"	"g__"	"s__"
"216023"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"
"148890"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Bradyrhizobium"	"s__"
"1135983"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"216805"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__"	"s__"
"4386675"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"1136344"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Phyllobacteriaceae"	"g__"	"s__"
"214791"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"276290"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__"	"f__"	"g__"	"s__"
"205635"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	"f__"	"g__"	"s__"
"2584634"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	"g__Candidatus Koribacter"	"s__"
"4363347"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"3639039"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	"f__"	"g__"	"s__"
"1128776"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__"	"g__"	"s__"
"133533"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__"
"161009"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"
"150977"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__Edaphobacter"	"s__"
"206038"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	"f__"	"g__"	"s__"
"4424785"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__iii1-15"	"f__"	"g__"	"s__"
"4345884"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	"f__Solibacteraceae"	"g__Candidatus Solibacter"	"s__"
"4440396"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"257891"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Ellin329"	"f__"	"g__"	"s__"
"1123984"	"k__Bacteria"	"p__Acidobacteria"	"c__DA052"	"o__Ellin6513"	"f__"	"g__"	"s__"
"1129210"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	"g__"	"s__"
"222768"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__"	"f__"	"g__"	"s__"
"211848"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__"	"g__"	"s__"
"1088618"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__Phenylobacterium"	"s__"
"1128503"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhodobiaceae"	"g__Afifella"	"s__"
"545306"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"
"222209"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__"	"s__"
"28341"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	"s__celatum"
"103285"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	"g__Nitrobacteria"	"s__hamadaniensis"
"839128"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"4450823"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	"g__"	"s__"
"4424843"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"4479485"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"
"510316"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	"s__"
"4328501"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"3431064"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__N1423WL"	"f__"	"g__"	"s__"
"1133624"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"545339"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
"557001"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__"	"s__"
"789730"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	"g__"	"s__"
"1142733"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	"g__Candidatus Koribacter"	"s__"
"223583"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	"s__celatum"
"1094340"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	"g__"	"s__"
"3990161"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__"	"s__"
