	R1A001	R1A01	R1A1	R1A10	R1A100	R1B01	R1B1	R1B10	R1B100	R1C01	R1C1	R1C10	R1C100	R2A001	R2A01	R2A1	R2A10	R2A100	R2B01	R2B1	R2B10	R2B100	R2C01	R2C1	R2C10	R2C100	R3A001	R3A01	R3A1	R3A10	R3A100	R3B01	R3B1	R3B10	R3B100	R3C01	R3C1	R3C10	R3C100
R1A001	0	0.13	1	10.03	96.82	0.1	1	14	144.7	0.13	1.01	10.03	114.17	503.03	503.02	502.95	502.37	508.4	502.96	502.33	493.35	415.01	502.93	502.02	493.01	405.81	693.47	693.4	692.78	686.65	626.01	693.37	692.47	679.47	558.44	693.4	692.74	686.24	627.88
R1A01	0.13	0	0.91	9.92	96.72	0.1	0.92	13.92	144.62	0.13	1	10.02	114.15	503.01	503	502.93	502.35	508.36	502.94	502.31	493.33	414.97	502.91	502.01	492.99	405.79	693.38	693.32	692.7	686.56	625.92	693.28	692.38	679.38	558.35	693.31	692.66	686.16	627.8
R1A1	1	0.91	0	9.02	95.82	0.93	0.63	13.21	143.89	0.99	1.3	9.92	114.01	502.83	502.82	502.76	502.16	508	502.76	502.13	493.13	414.58	502.73	501.83	492.82	405.63	692.63	692.56	691.95	685.81	625.12	692.53	691.63	678.63	557.6	692.56	691.91	685.41	627.11
R1A10	10.03	9.92	9.02	0	86.79	9.94	9.24	8.57	136.68	10.01	9.92	13.01	112.94	501.18	501.17	501.09	500.33	504.42	501.11	500.47	491.3	410.75	501.08	500.18	491.18	404.09	685.14	685.07	684.45	678.26	617.07	685.04	684.14	671.14	550.11	685.07	684.42	677.97	620.17
R1A100	96.82	96.72	95.82	86.79	0	96.74	96.02	86.15	87.07	96.8	96.67	95.77	137.09	493.74	493.71	493.47	491.17	477.62	493.66	492.91	482.25	383.14	493.64	492.76	483.99	399.77	615.26	615.19	614.52	607.83	541.35	615.16	614.27	601.31	480.89	615.2	614.6	608.68	556.68
R1B01	0.1	0.1	0.93	9.94	96.74	0	0.9	13.9	144.6	0.1	0.94	9.96	114.1	502.95	502.94	502.88	502.3	508.32	502.88	502.25	493.27	414.92	502.85	501.95	492.94	405.74	693.37	693.3	692.68	686.55	625.92	693.27	692.37	679.37	558.33	693.3	692.64	686.14	627.78
R1B1	1	0.92	0.63	9.24	96.02	0.9	0	13	143.7	0.93	0.76	9.35	113.45	502.29	502.28	502.21	501.62	507.53	502.22	501.59	492.6	414.13	502.19	501.29	492.27	405.08	692.47	692.4	691.78	685.65	625.03	692.37	691.47	678.47	557.44	692.4	691.74	685.24	626.88
R1B10	14	13.92	13.21	8.57	86.15	13.9	13	0	130.71	13.92	13.29	9.63	104.38	492.62	492.61	492.53	491.78	496.17	492.55	491.91	482.75	402.57	492.52	491.62	482.61	395.52	679.5	679.44	678.82	672.69	612.27	679.4	678.5	665.5	544.47	679.43	678.78	672.27	613.9
R1B100	144.7	144.62	143.89	136.68	87.07	144.6	143.7	130.71	0	144.63	144	137.82	102.62	409.68	409.65	409.37	406.64	390.55	409.6	408.83	397.81	296.09	409.58	408.72	400.07	317.53	548.89	548.82	548.21	542.15	483.62	548.79	547.89	534.89	413.86	548.81	548.15	541.6	483.59
R1C01	0.13	0.13	0.99	10.01	96.8	0.1	0.93	13.92	144.63	0	0.91	9.93	114.07	502.93	502.92	502.85	502.27	508.31	502.86	502.23	493.25	414.92	502.83	501.93	492.91	405.71	693.4	693.33	692.72	686.58	625.96	693.3	692.4	679.4	558.37	693.33	692.67	686.17	627.81
